step,resource,
../steps/step_A3DOBP.xml,https://github.com/micmacIGN/micmac,DPXLXYIR
../steps/step_A3DOBP.xml,https://github.com/micmacIGN/Documentation,PTW2WNUI
../steps/step_A_121017.xml,https://github.com/jasp-stats/jasp-desktop,S5BQ68HQ
../steps/step_A_190618.xml,https://www.cines.fr/,GTKRM6WS
../steps/step_AACaAP.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd,9SKJK8BF
../steps/step_AACaAPV2.xml,https://www.d4science.org/,REPS374P
../steps/step_AoS.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd,9SKJK8BF
../steps/step_ARnaD.xml,https://www.d4science.org/,REPS374P
../steps/step_atGPaLR.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd,9SKJK8BF
../steps/step_atGPaLRV2.xml,http://www.parthenos-project.eu/Download/Deliverables/D3.1_Guidelines_for_Common_Policies_Implementation.pdf,ZUEGLA6W
../steps/step_AtptRcdtR.xml,https://www.d4science.org/,REPS374P
../steps/step_AtuotEitSP.xml,https://www.worldcat.org/,A8ESQDLF
../steps/step_AtuotEitSP.xml,https://data.cerl.org/mei/_search,V5WXVD5C
../steps/step_AtuotEitSP.xml,https://manus.iccu.sbn.it/,SNFR7WZG
../steps/step_BCD.xml,https://www.d4science.org/,REPS374P
../steps/step_BCDV2.xml,https://www.d4science.org/,REPS374P
../steps/step_CaAPw3DDaM_190618.xml,https://www.cines.fr/,GTKRM6WS
../steps/step_Cad_300517.xml,https://hal.inria.fr/hal-01503235,FY8U9JME
../steps/step_CaeEotSW.xml,https://www.cerl.org/resources/cerl_portal,6ZFUTU53
../steps/step_CaeEotSW.xml,https://kvk.bibliothek.kit.edu/?digitalOnly=0=0=0,Q4W9D8YV
../steps/step_CaeEotSW.xml,http://www.bl.uk/catalogues/istc/,CK74XUJB
../steps/step_CaeEotSW.xml,http://www.mirabileweb.it/,KJLKJT69
../steps/step_CaeEotSW.xml,http://textinc.bodleian.ox.ac.uk/,XJDYI9AN
../steps/step_CaeEotSW.xml,https://www.base-search.net/about/en/,I32B6KKT
../steps/step_CaeEotSWV2.xml,https://www.cerl.org/resources/cerl_portal,6ZFUTU53
../steps/step_CaeEotSWV2.xml,https://kvk.bibliothek.kit.edu,Q4W9D8YV
../steps/step_CaeEotSWV2.xml,http://www.bl.uk/catalogues/istc/,KJLKJT69
../steps/step_CaeEotSWV2.xml,http://www.mirabileweb.it/,KJLKJT69
../steps/step_CaeEotSWV2.xml,http://textinc.bodleian.ox.ac.uk/,XJDYI9AN
../steps/step_CaeEotSWV2.xml,https://www.base-search.net/about/en/,I32B6KKT
../steps/step_CaSARDCooCwDwbs.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd,9SKJK8BF
../steps/step_CFiMFin_020218.xml,https://github.com/music-encoding/sibmei,PWDVPZT5
../steps/step_CLE_081117.xml,https://github.com/jcupitt/libvips,NDT75L9A
../steps/step_CSatSR.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd,9SKJK8BF
