step,resource
../../steps/step_A3DOBP.xml,https://github.com/micmacIGN/micmac
../../steps/step_A3DOBP.xml,https://github.com/micmacIGN/Documentation
../../steps/step_A_121017.xml,https://github.com/jasp-stats/jasp-desktop
../../steps/step_A_190618.xml,https://www.cines.fr/
../../steps/step_AACaAP.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd
../../steps/step_AACaAPV2.xml,https://www.d4science.org/
../../steps/step_AoS.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd
../../steps/step_ARnaD.xml,https://www.d4science.org/
../../steps/step_atGPaLR.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd
../../steps/step_atGPaLRV2.xml,http://www.parthenos-project.eu/Download/Deliverables/D3.1_Guidelines_for_Common_Policies_Implementation.pdf
../../steps/step_AtptRcdtR.xml,https://www.d4science.org/
../../steps/step_AtuotEitSP.xml,https://www.worldcat.org/
../../steps/step_AtuotEitSP.xml,https://data.cerl.org/mei/_search
../../steps/step_AtuotEitSP.xml,https://manus.iccu.sbn.it/
../../steps/step_BCD.xml,https://www.d4science.org/
../../steps/step_BCDV2.xml,https://www.d4science.org/
../../steps/step_CaAPw3DDaM_190618.xml,https://www.cines.fr/
../../steps/step_Cad_300517.xml,https://hal.inria.fr/hal-01503235
../../steps/step_CaeEotSW.xml,https://www.cerl.org/resources/cerl_portal
../../steps/step_CaeEotSW.xml,https://kvk.bibliothek.kit.edu/?digitalOnly=0=0=0
../../steps/step_CaeEotSW.xml,http://www.bl.uk/catalogues/istc/
../../steps/step_CaeEotSW.xml,http://www.mirabileweb.it/
../../steps/step_CaeEotSW.xml,http://textinc.bodleian.ox.ac.uk/
../../steps/step_CaeEotSW.xml,https://www.base-search.net/about/en/
../../steps/step_CaeEotSWV2.xml,https://www.cerl.org/resources/cerl_portal
../../steps/step_CaeEotSWV2.xml,https://kvk.bibliothek.kit.edu
../../steps/step_CaeEotSWV2.xml,http://www.bl.uk/catalogues/istc/
../../steps/step_CaeEotSWV2.xml,http://www.mirabileweb.it/
../../steps/step_CaeEotSWV2.xml,http://textinc.bodleian.ox.ac.uk/
../../steps/step_CaeEotSWV2.xml,https://www.base-search.net/about/en/
../../steps/step_CaSARDCooCwDwbs.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd
../../steps/step_CFiMFin_020218.xml,https://github.com/music-encoding/sibmei
../../steps/step_CLE_081117.xml,https://github.com/jcupitt/libvips
../../steps/step_CSatSR.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd
../../steps/step_CViS_121017.xml,https://github.com/jasp-stats/jasp-desktop
../../steps/step_DaA_171117.xml,http://bequali.fr/fr/
../../steps/step_DaA_190618.xml,http://www.carare.eu/
../../steps/step_DaA_190618.xml,http://3dicons-project.eu
../../steps/step_DoDaAGftRC.xml,https://www.zotero.org/groups/427927/items/T7672NJ8
../../steps/step_DoDaAGftRC.xml,https://github.com/deutschestextarchiv/dtabf/
