location,line,role,message
/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],50,information,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[1],89,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[2],90,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[3],91,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[4],92,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[5],93,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[6],94,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[7],95,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[8],96,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[9],99,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[10],102,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[11],103,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[12],104,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[13],105,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[14],106,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[15],107,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[16],108,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[17],109,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[18],110,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[19],111,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/teiHeader[1]/fileDesc[1]/titleStmt[1],8,warning,The main sponsor of the SSK is the PARTHENOS project. All scenarios and steps should record this information.
/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],45,information,"sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
