context,test,location,line,tag,nodeText,message
tei:TEI,"string(.) = substring-before($fileName, '.xml')",/TEI[1],,,,"The xml:id of the TEI element should be equal to the name of the file, without the file extension. Currently the value of xml:id is ""SSK_sc_DTABf"" whilst the file name is ""SSK_sc_DTABf.xml"""
tei:TEI,string(.) = 'researchScenario' or . = 'researchStep',/TEI[1],,,,"TEI/@type should be either ""researchScenario"" or ""researchStep"". The current value of TEI/@type is ""researchScenario"""
tei:change,tei:date and tei:persName and tei:affiliation and tei:desc,/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],49,{http://www.tei-c.org/ns/1.0}change,,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
tei:desc[@type = 'definition'],tei:list or tei:ref,/TEI[1]/text[1]/body[1]/div[1]/desc[1],57,{http://www.tei-c.org/ns/1.0}desc,"Currently, initiatives for the digitization of
               textual resources and their provision to the interested community are manifold and
               various. Hence, scholars who want to base their research on digitized texts,
               especially if working with popular works, may find a considerable amount of resources
               already digitized and ready to use. However, with these resources originating from
               various data providers (individual scholars, singular research projects, large
               infrastructures, ...) scholars usually face a great variety of digitization
               guidelines and formats. Gathering resources from different sources will hence almost
               always require their harmonization on different levels of processing. The CLARIN-D
               center at the Berlin-Brandenburg Academy of Sciences and Humanities provides an
               infrastructure for this task based on the DTA 'Base Format' (DTABf). The DTABf is a
               TEI-P5 format for homogeneous text annotation including set of extensive guidelines
               for text transcription. This scenario describes the steps to take in order to create
               a homogeneous, DTABf-based text corpus.","In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
tei:desc[@type = 'terms'],count(tei:term[@type = 'object']) < 5,/TEI[1]/text[1]/body[1]/div[1]/desc[2],71,{http://www.tei-c.org/ns/1.0}desc,,More than 4 terms of the same vocabulary type may be too much: OBJECT
tei:desc[@type = 'terms']/tei:term,@source,/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[34],122,{http://www.tei-c.org/ns/1.0}term,,"The attribute source is important to specifiy which vocabulary was used. The main ones are ""tadirah"", aurehal, ""standard""."
tei:sourceDesc,child::*,/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],25,{http://www.tei-c.org/ns/1.0}sourceDesc,"
            ","sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
tei:div/tei:head,normalize-space(.),/TEI[1]/text[1]/body[1]/div[1]/head[1],55,{http://www.tei-c.org/ns/1.0}head,"Harmonization of digitized textual resources
               with the DTABf",The title of a scenario should describe the main goal of the scenario.
tei:desc[@type = 'terms']/tei:term,ancestor::tei:TEI[@type = 'researchScenario'] and @type = 'activity',/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[3],76,{http://www.tei-c.org/ns/1.0}term,,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
tei:desc[@type = 'terms']/tei:term,ancestor::tei:TEI[@type = 'researchScenario'] and @type = 'activity',/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[4],77,{http://www.tei-c.org/ns/1.0}term,,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
tei:desc[@type = 'terms']/tei:term,ancestor::tei:TEI[@type = 'researchScenario'] and @type = 'activity',/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[5],80,{http://www.tei-c.org/ns/1.0}term,,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
tei:desc[@type = 'terms']/tei:term,ancestor::tei:TEI[@type = 'researchScenario'] and @type = 'activity',/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[6],81,{http://www.tei-c.org/ns/1.0}term,,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
tei:desc[@type = 'terms']/tei:term,ancestor::tei:TEI[@type = 'researchScenario'] and @type = 'activity',/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[7],84,{http://www.tei-c.org/ns/1.0}term,,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
tei:desc[@type = 'terms']/tei:term,ancestor::tei:TEI[@type = 'researchScenario'] and @type = 'activity',/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[8],85,{http://www.tei-c.org/ns/1.0}term,,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
tei:desc[@type = 'terms']/tei:term,ancestor::tei:TEI[@type = 'researchScenario'] and @type = 'activity',/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[9],86,{http://www.tei-c.org/ns/1.0}term,,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
tei:desc[@type = 'terms']/tei:term,ancestor::tei:TEI[@type = 'researchScenario'] and @type = 'activity',/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[10],89,{http://www.tei-c.org/ns/1.0}term,,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
tei:desc[@type = 'terms']/tei:term,ancestor::tei:TEI[@type = 'researchScenario'] and @type = 'activity',/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[11],92,{http://www.tei-c.org/ns/1.0}term,,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
tei:desc[@type = 'terms']/tei:term,ancestor::tei:TEI[@type = 'researchScenario'] and @type = 'activity',/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[12],95,{http://www.tei-c.org/ns/1.0}term,,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
tei:desc[@type = 'terms']/tei:term,ancestor::tei:TEI[@type = 'researchScenario'] and @type = 'activity',/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[13],98,{http://www.tei-c.org/ns/1.0}term,,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
tei:desc[@type = 'terms']/tei:term,ancestor::tei:TEI[@type = 'researchScenario'] and @type = 'activity',/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[14],99,{http://www.tei-c.org/ns/1.0}term,,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
tei:desc[@type = 'terms']/tei:term,ancestor::tei:TEI[@type = 'researchScenario'] and @type = 'activity',/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[15],100,{http://www.tei-c.org/ns/1.0}term,,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
