context,test,location,line,tag,nodeText,message
tei:TEI,"string(.) = substring-before($fileName, '.xml')",/TEI[1],,,,"The xml:id of the TEI element should be equal to the name of the file, without the file extension. Currently the value of xml:id is ""step_DoDaAGftRC"" whilst the file name is ""step_DoDaAGftRC.xml"""
tei:TEI,string(.) = 'researchScenario' or . = 'researchStep',/TEI[1],,,,"TEI/@type should be either ""researchScenario"" or ""researchStep"". The current value of TEI/@type is ""researchStep"""
tei:change,tei:date and tei:persName and tei:affiliation and tei:desc,/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],29,{http://www.tei-c.org/ns/1.0}change,,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[1],74,{http://www.tei-c.org/ns/1.0}ref,DTABf website,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[2],77,{http://www.tei-c.org/ns/1.0}ref,DTABf source documents,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[3],80,{http://www.tei-c.org/ns/1.0}ref,DTABf ODDs and Schemas,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[4],83,{http://www.tei-c.org/ns/1.0}ref,Haaf/Geyken/Wiegand (2015),"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[5],86,{http://www.tei-c.org/ns/1.0}ref,Haaf/Thomas (2017),"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[6],89,{http://www.tei-c.org/ns/1.0}ref,"
       Haaf (2017) ","It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[7],93,{http://www.tei-c.org/ns/1.0}ref,TEI Customizations,"It is possible to add terms to resources, for instance a standard or a technique."
tei:titleStmt,not(tei:sponsor),/TEI[1]/teiHeader[1]/fileDesc[1]/titleStmt[1],8,{http://www.tei-c.org/ns/1.0}titleStmt,"
            ",The main sponsor of the SSK is the PARTHENOS project. All scenarios and steps should record this information.
tei:sourceDesc,child::*,/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],24,{http://www.tei-c.org/ns/1.0}sourceDesc,"
            ","sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
