context,test,location,line,tag,nodeText,message
tei:TEI,"string(.) = substring-before($fileName, '.xml')",/TEI[1],,,,"The xml:id of the TEI element should be equal to the name of the file, without the file extension. Currently the value of xml:id is ""step_PotC"" whilst the file name is ""step_PotC.xml"""
tei:TEI,string(.) = 'researchScenario' or . = 'researchStep',/TEI[1],,,,"TEI/@type should be either ""researchScenario"" or ""researchStep"". The current value of TEI/@type is ""researchStep"""
tei:change,tei:date and tei:persName and tei:affiliation and tei:desc,/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],27,{http://www.tei-c.org/ns/1.0}change,,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
tei:desc[@type = 'definition'],tei:list or tei:ref,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/desc[1],35,{http://www.tei-c.org/ns/1.0}desc,"The text corpus that has been created with the
                  issue of interoperability in mind and according to the standardized DTA 'Base
                  Format' can then be provided to the Digital Humanities' Community for re-use in
                  other project contexts. It can be handed over to a CLARIN center for persistent
                  storage and availability via the CLARIN infrastructure. Because of the usage of
                  the DTABf as a standardized format, conversion into CLARIN's input formats (CMDI,
                  TCF) can be done automatically. This way, the corpus becomes findable via CLARIN's
                  faceted search platform VLO (Virtual Language Observatory) and can be further
                  analysed in WebLicht. German text corpora can be easily integrated in the
                  Deutsches Textarchiv (DTA) platform, where they become part of a large historical
                  corpus and connected to search and data analysis facilities on the platform. In
                  any case, it is strongly recommended to respect the FAIR principles when providing
                  the corpus.","In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[1],59,{http://www.tei-c.org/ns/1.0}ref,VLO,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[2],60,{http://www.tei-c.org/ns/1.0}ref,WebLicht,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[3],61,{http://www.tei-c.org/ns/1.0}ref,"TEI-TCF
                     encoder+decoder","It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[4],63,{http://www.tei-c.org/ns/1.0}ref,FAIR principles,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[5],64,{http://www.tei-c.org/ns/1.0}ref,"CMDI 1.2
                     specification","It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[6],66,{http://www.tei-c.org/ns/1.0}ref,"TCF
                     documentation","It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[7],68,{http://www.tei-c.org/ns/1.0}ref,"Deutsches Textarchiv
                     (DTA)","It is possible to add terms to resources, for instance a standard or a technique."
tei:titleStmt,not(tei:sponsor),/TEI[1]/teiHeader[1]/fileDesc[1]/titleStmt[1],6,{http://www.tei-c.org/ns/1.0}titleStmt,"
            ",The main sponsor of the SSK is the PARTHENOS project. All scenarios and steps should record this information.
tei:sourceDesc,child::*,/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],22,{http://www.tei-c.org/ns/1.0}sourceDesc,"
            ","sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
