context,test,location,line,tag,nodeText,message
tei:TEI,"string(.) = substring-before($fileName, '.xml')",/TEI[1],,,,"The xml:id of the TEI element should be equal to the name of the file, without the file extension. Currently the value of xml:id is ""SSK_sc_mei"" whilst the file name is ""SSK_sc_mei.xml"""
tei:TEI,string(.) = 'researchScenario' or . = 'researchStep',/TEI[1],,,,"TEI/@type should be either ""researchScenario"" or ""researchStep"". The current value of TEI/@type is ""researchScenario"""
tei:change,tei:date and tei:persName and tei:affiliation and tei:desc,/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],62,{http://www.tei-c.org/ns/1.0}change,,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
tei:desc[@type = 'definition'],tei:list or tei:ref,/TEI[1]/text[1]/body[1]/div[1]/desc[1],70,{http://www.tei-c.org/ns/1.0}desc,"A project aims to do a digital edition of a musical
     corpus. The researchers need to be able to encode a broad range of musical documents in a
     machine-readable structure. The data to be encoded may include the musical content as provided
     by the composer (notes, pitches, durations, dynamics, etc.), information on the score (incipit,
     lyrics writer, etc.), information added by a performer when interpreting the content (timing,
     phrasing, various annotations, etc.), information on the visual appearance of the score (page
     layout, musical font, etc.) and analyses of the content in any of the other domains. The
     edition will be structured around a database in order to allow the users to explore it more
     easily. Furthermore, the project intends to be collaborative, which means it will offer anyone
     interested the possibility to contribute.","In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
tei:desc[@type = 'definition'],tei:list or tei:ref,/TEI[1]/text[1]/body[1]/div[1]/desc[2],80,{http://www.tei-c.org/ns/1.0}desc,"Un projet cherche à faire l'édition numérique d'un corpus
     musical. Les chercheurs doivent pouvoir encoder une large gamme de documents musicaux dans un
     format lisible par des machines. Les données à encoder peuvent inclure du contenu musical
     fourni par le compositeur (notes, tons, durées, dynamiques, etc.), des informations sur la
     partition (incipit, parolier, etc.), des informations ajoutées par un interprète (rythme,
     phrasé, annotations diverses, etc.), des informations sur l'apparence visuelle de la partition
     (mise en page, police, etc.) ainsi que des analyses dans tous ces domaines. L'édition sera
     structurée autour d'une base de données afin de permettre aux utilisateurs d'explorer plus
     facilement le contenu. Par ailleurs, le projet se veut collaboratif et offrira à toute personne
     intéressée la possibilité de contribuer.","In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
tei:sourceDesc,child::*,/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],35,{http://www.tei-c.org/ns/1.0}sourceDesc,"
            ","sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
tei:div/tei:head,normalize-space(.),/TEI[1]/text[1]/body[1]/div[1]/head[1],68,{http://www.tei-c.org/ns/1.0}head,Collaborative Digital Edition of a Musical Corpus,The title of a scenario should describe the main goal of the scenario.
tei:div/tei:head,normalize-space(.),/TEI[1]/text[1]/body[1]/div[1]/head[2],69,{http://www.tei-c.org/ns/1.0}head,Edition numérique collaborative d'un corpus musical,The title of a scenario should describe the main goal of the scenario.
tei:desc[@type = 'terms'],ancestor::tei:TEI[@type = 'researchScenario'] and count(tei:term[@type = 'standard']) = 0,/TEI[1]/text[1]/body[1]/div[1]/desc[3],90,{http://www.tei-c.org/ns/1.0}desc,,A scenario could have several keywords related to standards. Check the documentation for more details
tei:desc[@type = 'terms'],ancestor::tei:TEI[@type = 'researchScenario'] and count(tei:term[@type = 'technique']) = 0,/TEI[1]/text[1]/body[1]/div[1]/desc[3],90,{http://www.tei-c.org/ns/1.0}desc,,A scenario could have several keywords related to research techniques. Check the Tadirah taxonomy for more details.
