context,test,location,line,tag,nodeText,message
tei:TEI,"string(.) = substring-before($fileName, '.xml')",/TEI[1],,,,"The xml:id of the TEI element should be equal to the name of the file, without the file extension. Currently the value of xml:id is ""step_3DV"" whilst the file name is ""step_3DV.xml"""
tei:TEI,string(.) = 'researchScenario' or . = 'researchStep',/TEI[1],,,,"TEI/@type should be either ""researchScenario"" or ""researchStep"". The current value of TEI/@type is ""researchStep"""
tei:change,tei:date and tei:persName and tei:affiliation and tei:desc,/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],50,{http://www.tei-c.org/ns/1.0}change,,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
tei:event/tei:head,"matches(., '(^\w*(ing|ion|ment|ments) )|( \w*(ing|ion|ment|ments$))')",/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/head[1],57,{http://www.tei-c.org/ns/1.0}head,Visualisation,"The title of a step should describe the action to perform, starting or ending with a gerund (or an infinitive), or a noun ."
tei:desc[@type = 'definition'],tei:list or tei:ref,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/desc[1],58,{http://www.tei-c.org/ns/1.0}desc," Visualize 3D models requires specific
                        (web-based or not) softwares or libraries. Most of them propose, in addition
                        of the visualisation itself, to interact with the data (measurement systems,
                        orientation, movement, etc.)","In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[1],66,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[2],67,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[3],68,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[4],69,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[5],70,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
