context,test,location,line,tag,nodeText,message
tei:TEI,"string(.) = substring-before($fileName, '.xml')",/TEI[1],,,,"The xml:id of the TEI element should be equal to the name of the file, without the file extension. Currently the value of xml:id is ""step_Cad_300517"" whilst the file name is ""step_Cad_300517.xml"""
tei:TEI,string(.) = 'researchScenario' or . = 'researchStep',/TEI[1],,,,"TEI/@type should be either ""researchScenario"" or ""researchStep"". The current value of TEI/@type is ""researchStep"""
tei:change,tei:date and tei:persName and tei:affiliation and tei:desc,/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],29,{http://www.tei-c.org/ns/1.0}change,,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
tei:desc[@type = 'definition'],tei:list or tei:ref,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/desc[1],38,{http://www.tei-c.org/ns/1.0}desc,"To make you customization easy to read and understand by
      others, it is important to document all the changes made and present them clearly. ODD allows
      you to generate such documentation in various formats (HTML, PDF, Docx, etc.)","In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
tei:desc[@type = 'definition'],tei:list or tei:ref,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/desc[2],41,{http://www.tei-c.org/ns/1.0}desc,"Pour rendre votre personnalisation facile à lire et à
      comprendre par d'autres, il est important de documenter tous les changements apportés et de
      les présenter clairement. ODD vous permet de générer une telle documentation dans différents
      formats (HTML, PDF, Docx, etc.)","In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[1],55,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[2],59,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[2]/ref[1],64,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:titleStmt,not(tei:sponsor),/TEI[1]/teiHeader[1]/fileDesc[1]/titleStmt[1],8,{http://www.tei-c.org/ns/1.0}titleStmt,"
            ",The main sponsor of the SSK is the PARTHENOS project. All scenarios and steps should record this information.
tei:sourceDesc,child::*,/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],24,{http://www.tei-c.org/ns/1.0}sourceDesc,"
            ","sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
