location,line,message
/TEI[1],,"The xml:id of the TEI element should be equal to the name of the file, without the file extension. Currently the value of xml:id is ""SSK_sc_DTABf"" whilst the file name is ""SSK_sc_DTABf.xml"""
/TEI[1],,"TEI/@type should be either ""researchScenario"" or ""researchStep"". The current value of TEI/@type is ""researchScenario"""
/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],49,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
/TEI[1]/text[1]/body[1]/div[1]/desc[1],57,"In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
/TEI[1]/text[1]/body[1]/div[1]/desc[2],71,More than 4 terms of the same vocabulary type may be too much: OBJECT
/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[34],122,"The attribute source is important to specifiy which vocabulary was used. The main ones are ""tadirah"", aurehal, ""standard""."
/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],25,"sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
/TEI[1]/text[1]/body[1]/div[1]/head[1],55,The title of a scenario should describe the main goal of the scenario.
/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[3],76,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[4],77,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[5],80,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[6],81,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[7],84,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[8],85,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[9],86,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[10],89,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[11],92,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[12],95,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[13],98,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[14],99,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[15],100,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
