location,line,role,message
/TEI[1],,error,"TEI/@type should be either ""researchScenario"" or ""researchStep"". The current value of TEI/@type is ""researchStep"""
/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],33,information,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/head[1],40,error,The title is too short: 10 characters minimum
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/head[1],40,information,"The title of a step should describe the action to perform, starting or ending with a gerund (or an infinitive), or a noun ."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/head[2],41,information,"The title of a step should describe the action to perform, starting or ending with a gerund (or an infinitive), or a noun ."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/desc[1],42,error,"In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/desc[2],51,error,"In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[1],58,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[2],59,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[3],60,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[4],61,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[5],62,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[6],63,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[7],64,information,"It is possible to add terms to resources, for instance a standard or a technique."
/TEI[1]/teiHeader[1]/fileDesc[1]/titleStmt[1],8,warning,The main sponsor of the SSK is the PARTHENOS project. All scenarios and steps should record this information.
/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],28,information,"sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
